review,labels,flight_delay_cancellation,checkin_boarding_process,baggage_issues,inflight_experience,pricing_fees,online_booking,date
Openskies used to be a great option from New York JFK to Paris Orly. But aging planes crummy and continuously declining quality of service and food doesnt make it a worthwhile option anymore. You used to be treated like a human but now its just a bigger seat. There are better options out there. I guess this was an expected outcome once the big British Airways took over.,inflight_experience_negative,0,0,0,-1,0,0,2025-11-10 01:03:22.360472094
Viva Aerobus canceled our flight one day before traveling. Therefore they changed everything for us hotel car rental and we ended up paying donle. And of the luggage they charged us double. Viva aerobus nos cancelo el vuelo un dia antes de viajar. Por lo tanto nos cambio todo hotel renta de carro y terminamos pagando donle. Y Del equipaje nos cobraron doble.,flight_delay_cancellation_negative | baggage_issues_negative | pricing_fees_negative,-1,0,-1,0,-1,0,2025-11-10 01:09:08.029605921
Flight from Aberdeen to Lisbon via Paris both flights were more or less on time. Air France lounge is Paris is rather nice although really busy. The crew was very friendly and polite in both flights. The only thing I would criticise was the meal on the flight between Paris and Lisbon. That cold meal was totally uninspired.,inflight_experience_negative,0,0,0,-1,0,0,2025-11-10 01:14:53.698739747
We have flown Emirates many times from Washington to Bangkok via Dubai. No problems. Everything very nice. This last flight February 2019 we left 90 minutes late from Bangkok technical problems and missed our connection. We were assured agents would be there to discuss options at Dubai. We were met at the airport and handed no discussion a ticket for the next flight next day 24 hours away and a hotel voucher. No Emirates agents were at the hotel nor were there any agents at the airport that could answer any question about upgrading or compensation. No one knew anything about anything. Unbelievable. Will never fly Emirates again. There is no customer service for this airline. If you call the 1800 number they tell you to go online. You go online and it will take a month to hear back. A US carrier could not stay in business with this kind of policy. If you were flying to the Euro zone there are policies for compensating people. Nothing if you fly from the US even on business class. If you are concerned about potential problems with this airline do realize you will never find an agent to help you with a problem.,flight_delay_cancellation_negative | checkin_boarding_process_negative,-1,-1,0,0,0,0,2025-11-10 01:20:39.367873574
My flight from Sydney to Doha was delayed for 16 hours because of technical problems. The staff said Id get my accommodation and transport fees covered but I have got nothing. I had to spend an extra night of layover in Doha and I got no hotel arrangement even though Sydney staff said I would. I would not have taken the delayed flight if I knew U had to suffer an overnight at Doha airport.,flight_delay_cancellation_negative,-1,0,0,0,0,0,2025-11-10 01:26:25.037007401
The crew onboard was friendly and polite. The flight was on time and even landed before scheduled arrival time. I would give this airline company a higher rating if it werent for the meals they serve onboard. The food in the economy class is literally uneatable. The pasta penne was soaked in water with a disgusting sauce on top. The dessert cake as hard as a rock. My seat neighbors could not eat the food either. Considering the price of the plane ticket this is absolutely unacceptable I would not recommend this airline to anyone unless you dont mind bringing your own food onboard.,inflight_experience_negative | pricing_fees_negative,0,0,0,-1,-1,0,2025-11-10 01:32:10.706141228
British Airways flight to Brussels from Heathrow. Check in problems and a hugely delayed flight. Pay premium prices for a below average service. They need to invest in their IT systems and greatly up their game.,flight_delay_cancellation_negative | checkin_boarding_process_negative | pricing_fees_negative,-1,-1,0,0,-1,0,2025-11-10 01:37:56.375275055
Beijing to Istanbul in August 2018. On just our second day abroad my wife called me to tell me that we had lost my mother. She was being cared for but suddenly her health deteriorated further. Naturally I had to go home as soon as possible we had to cancel our trip. My son who had lost his grandmother had to deal with the customer service employee who was unempathetic and dismissive. We wanted to change our return tickets which was from Hong Kong to Istanbul on Sunday and asked them to change it to Beijing to Istanbul on Wednesday. We were told by the Turkish Airlines representative we had to pay the price of a new ticket because our ticket was nochange but we could get the refund after we present them with the death certificate of my late mother. We had to take this option as we had to be there on time for my mothers funeral. When I went to the Turkish Airlines office in Turkey after 10 days they told me I cannot get a refund because I already used my ticket. I told them this is what the customer service told me and the reply is There is nothing we can do. But it was the Turkish Airlines representative who persuaded us not to cancel our flights and change them instead. Turkish Airlines deliberately gave us false information on this subject and lied to us for the price of two tickets A company that sees profit in death of a loved one is not a company I am willing to work with ever again unless I absolutely have to.,flight_delay_cancellation_negative | pricing_fees_negative,-1,0,0,0,-1,0,2025-11-10 01:43:42.044408881
Pleasantly surprised. Staff were fantastic. Very accommodating. Food was ok. Comfortable seat entertainment much better than Qantas. This was such a better experience than flying with Qantas. Highly recommend this airline,inflight_experience_positive,0,0,0,1,0,0,2025-11-10 01:49:27.713542708
Flew from Pakse to Luang Prabang in February 2013. Flight was on time with a snack provided. Friendly FAs and spotless cabin on an ATR72. Interesting mountain views as we approached L.P. Small but service superior to that of major airlines. Flying used to be like this.,flight_delay_cancellation_positive | inflight_experience_positive,1,0,0,1,0,0,2025-11-10 01:55:13.382676535
Terrible terrible terrible They basically left us in the airport without any accommodations and said that our next flight out would be in 2 days from the original date. Theyre horrible Everyone that flew Spirit was left in the airport for dead,flight_delay_cancellation_negative | checkin_boarding_process_negative,-1,-1,0,0,0,0,2025-11-10 02:00:59.051810362
I have recently used Jet2 on my way from Rome to Birmingham and I was shocked about the lack of safety measures on the plane. As a doctor in medical microbiology I can say that it was a joke what I saw during the flight. Passengers were wearing all sorts of masks in all possible ways. Some masks looked like they chewed them before they put them on their faces Nobody checked our passenger locator form Temperature was checked only for some passengers Passengers were boarding in big groups crowding next to each other without keeping any distance There was service during the flight several times. The crew didnt use any hand gel when passing debit cards money serving food and drinks People were carelessly walking to the toilet and to chat with friends After landing people were crowding in the aisle passing bags to each other some of them had their masks on their necks staff didnt react at all there were no measures implemented regarding how passengers should leave the plane. I flew with other airlines in the last few weeks including Alitalia which amazed me with their policies and all safety measures they implemented but what I saw during my flight with Jet2 was completely unacceptable.,checkin_boarding_process_negative | inflight_experience_negative,0,-1,0,-1,0,0,2025-11-10 02:06:44.720944188
My daughter left St. Maarten for Trinidad on Friday 19 July on a LIAT flight around 2pm. She finally arrived in Trinidad at 12.30am Right now 21 July the rest of my family and I are enroute to Trinidad from St. Maarten on a LIAT flight. Supposed to leave St. Maarten at 2.10pm. Finally left at 5.30pm. Now its 17.17pm and we are stuck in Antigua Never again.,flight_delay_cancellation_negative,-1,0,0,0,0,0,2025-11-10 02:12:30.390078015
This review is similar to a recent one regarding very slow response time for settling baggage compensation claims. My luggage did not arrive with me on arrival to Washington. I needed to purchase some essential items including clothing. I followed all the procedures laid out by Air France. Four months later despite numerous calls and social media direct messages nothing by way of compensation from Air France.,baggage_issues_negative,0,0,-1,0,0,0,2025-11-10 02:18:16.059211842
Pay a bit extra and fly with a more reputable and decent airline. I had a flight from Dushanbe to St. Petersburg with Somon Air departure time 0630 in the morning. I arrived at the airport more than two hours ahead just to realise that my flight had been put off. The new departure time would be 16.5 hours later Well such things can happen generally speaking. When it comes to Somon Air these problems look more like a rule than an exception. Just a quick glance at board of departures tells the alarming truth most flights are either cancelled or delayed. Their representatives at the airport helped me to reschedule my connecting flights at St. Petersburg. I will give them well deserved them credit. The rest of this story is far from satisfying. Usually stranded passengers will have access to a decent hotel room while waiting. They brought me to a rundown Intourist Hotel where I got a dormitory bed. They gave me four USdollars cash to cover breakfast lunch and dinner The money did not even cover my breakfast I succeeded in getting home one day later. However I lost one day of income and had some extra expenditures. At home I specified my claims to the airline. They just ignored my claims with compact silence. This airline is a complete disaster. The services on board were also of inferior quality. For your own convenience and pleasure please pay a bit extra and get the services you can expect. You get what you pay for.,flight_delay_cancellation_negative | inflight_experience_negative | pricing_fees_negative,-1,0,0,-1,-1,0,2025-11-10 02:24:01.728345669
Toronto to Venice. No TV or inseat entertainment. Poor meals for me. Clogged sink in the restroom. Small space for luggage. I was expecting more I am very disappointed definitely will try to avoid flying with Air Canada rouge in the future.,inflight_experience_negative,0,0,0,-1,0,0,2025-11-10 02:29:47.397479495
The seat that I had booked 24 hours in advance a window seat had been changed without my consent to the middle of the cabin I complained to the staff at the gate and they said there was nothing they could do about it as the flight was full. Once onboard I discoverd that the interior was worn and the seats very uncomfortable. The inflight entertainment or the VOD video on demand system apeared to be VHS and was broken for my seat one of the cabin crew had to do a reset it which took over ten minutes. The screen was very pixelated and the sound did not work very well which meant that watching the inflight entertainment was more tiring than not watching it. The food was average but seemed to match the aircraft as it was dull and tasteless. As this was an overnight flight I expected to be able to get somewhat more than a 30 min nap which was interupted any sleep was not possible due to the fact that there was 5 infants in the world traveller cabin all of which at least 3 were shrieking at any given time. The Boeing 777 should not be still used on long haul flights as it does not live up to the standards of BAs Airbus A380s or Boeing 747 flights. I had an excellent flight out on BA and an amazing stay in Washington D.C but the flight back put a dent in the enjoyment of the holiday.,inflight_experience_negative,0,0,0,-1,0,0,2025-11-10 02:35:33.066613322
AEP to Mendoza via San Juan. Efficient and friendly checkin modern airbus comfortable seats efficient cabin crew ontime.,checkin_boarding_process_positive | inflight_experience_positive,0,1,0,1,0,0,2025-11-10 02:41:18.735747149
Toronto to Istanbul. I have recently flown via Turkish Airlines and it was not pleasant experience compare to previous years. I could only say that this North America flight has gone downhill in last few years. The plane seemed aged seats were not comfy narrow for 10 hours flight. It could be my luck getting an older plane and it could be different with newer planes for the same route. Checkin to the flight was a complete mess. Instead of calling with zones or Tier everyone invited to open counters and it caused huge line ups and mess in the plane. Cabin staff was nice courteous but not helpful. They lied about foods to people especially who were not a native speaker of Turkish. They passed drinks and food items over passengers heads to their colleague if they were out on their carts. I felt extremely warm in my seat. Complained about it and the answer was this is the coldest they can get at this altitude for maximum air quality in the cabin. The final part is that 2 of my luggage get lost on this flight Turkish Airlines cannot locate my luggage and each representative over the phone tells different location. We are now getting into 72 hours but no one knows where my luggage is.,checkin_boarding_process_negative | baggage_issues_negative | inflight_experience_negative,0,-1,-1,-1,0,0,2025-11-10 02:47:04.404880976
For me Gulf Air is the best option for regional GCC flights as the planes take off on time and the service is okay. The food was average at most and the FAs are fairly attentive. I havent flown with Gulf Air for long hauls for 11 years so I cant judge them for that. The seats were comfortable and had good leg space.,inflight_experience_positive,0,0,0,1,0,0,2025-11-10 02:52:50.074014802
Good experience returning back same day from Mumbai. Aircraft was clean and fresh light snack was provided which can be improved on time departure and arrival,flight_delay_cancellation_negative | inflight_experience_positive,-1,0,0,1,0,0,2025-11-10 02:58:35.743148629
Brisbane to Honiara return on Solomon Airlines IE 701700 flying on a Qantas code share QF 379380 in economy. An aging but wellmaintained A320 which does the journey in a shade over three hours. Flying on a Qantas Code Share and with premium FF status my luggage was booked through to my final destination and I was able to access the Qantas Business lounge in Brisbane and the Belama Lounge in Honiara. Seats are leather and well spaced by economy standards with sufficient leg room. There is no inflight entertainment but the meal service was generous for a relatively short flight with constant refills of wine available The cabin crew are among the friendliest I know and give very good service. The only competition on this route is Virgin with a similar fare structure and limited service so airfares are not particularly low but if purchased well in advance are not unreasonable for a fairly lowtrafficked route.,inflight_experience_positive | baggage_issues_positive,0,0,1,1,0,0,2025-11-10 03:04:21.412282456
Our flight from Sydney to Madrid via Doha was delayed by 9 hours. We were not informed until we arrived to check in. Stood in line for 3 hours only to be turned away. No explanation or apology. Returned 9 hours later at 330am. Had to spend 480 on taxi fares. Arrived in Doha delay meant we missed our connecting flight so we had to spend a day in Qatar. Waited in line for another hour while accommodation was arranged. They put us in the Best Western which was a nightmarish slum. Told not to leave the hotel. I wanted my expenses to be reimbursed ie. taxi fares and missed hotel accommodation in Madrid. Called Qatars customer help line on hold for 40 minutes then hung up on twice. Ive tried emailing and no reply.,flight_delay_cancellation_negative | checkin_boarding_process_negative,-1,-1,0,0,0,0,2025-11-10 03:10:07.081416283
Adelaide to London via Hong Kong. My wife and I travel regulary with Cathay Pacific and have always been very pleased with all aspects of their service. We have tried other airlines but have always returned to cathay pacific. This August on our return trip we opted for a longer stop over in transit 12 hours so we could take a visit to Hong Kong centre and have lunch etc. On our return to the airport we found the departure gates all closed as there were demonstrators all over the airport blocking departure gates. All the flights were showing cancelled on the information boards so we just sat in a corner and waited for any news. Some of the demonstrators walked round giving people water and food and apologised for the inconvenience being caused they were not hostile at all. After several hours and no news that the flight would be going we decided to get the train back to the city and book in a hotel as we was just about to go out the building my wife and was approached by two young ladies in Cathay pacific uniform and asked us if we were with CP when we told them yes one of the ladies along with a young man without uniform chaperoned us to area A of the airport where there was another small departure gate. They spoke to some security people and we was slipped through the gate unbeknowing to demonstrators on the plane only lost half hour. Were flying again this December with no qualms.,flight_delay_cancellation_negative | checkin_boarding_process_positive,-1,1,0,0,0,0,2025-11-10 03:15:52.750550110
Very bad airline that falls under KLM. On the way there was a rude head stewardess who refused to do the safety demonstrations in English and did not speak English on the flight. So someone who doesnt understand Dutch doesnt know what to do. It is known that Dutch flight attendants have a very coldrude attitude also on this flight from Transavia and Stewards aboard with no experience. People who think to pay 9 euros extra to be sure that you can take luggage with you are wrong. Most of them still had to drop off their luggage. Food beverages are extremely expensive. For 1 sandwich you already pay almost 10 euros. I would not recommend this airlines for flight for over 1.5 hours. The seat was very uncomfortable and extremely small.,inflight_experience_negative | pricing_fees_negative | checkin_boarding_process_negative,0,-1,0,-1,-1,0,2025-11-10 03:21:38.419683936
Flew Lao Airlines QV535 from Luang Prabang to Singapore on an A320. Legroom was decent there was an PTV at each seats but somehow cannot be turned on. The seat was quite comfortable and cabin crews were cheerful serving the passengers. We were served a pack of fruit chip on LPQVTE sector and a full meal on VTE SIN sector.,inflight_experience_positive,0,0,0,1,0,0,2025-11-10 03:27:24.088817763
On our flight to Paris from Los Angeles neither movie monitor worked. Not only did they not work both were stuck on so you had bright monitor lights shining in your faces while trying to sleep. It could not be shut off. Then seat 85K would not recline at all it was broken. So once the planes cabin lights were dimmed and everyone around us was asleep we were left with monitor lights in our eyes and one seat would not recline. I have a bad back so this only made it worse. The plane was full so there were no available seats for us to move. At one point a flight attendant tried to tape a magazine over the monitors.... only to have them fall off into our laps 2030 minutes later. These premium economy seats were 2700 more than coach seats yet they were horrible and an unpleasant start to our vacation. The folks in economy watched movies and their seats reclined. I filed a complain when we got back home with Air France only to find that Delta Airlines handles the complaints for Air France. They were sorry and offered some free mileage for the inconvenience. Nothing more nothing less. Well this might be a good thing to a frequent flyer but in our lifetime we will never have enough mileage with or without their offering to earn anything. So the mileage offering was nothing to us. This was a once in a lifetime vacation so we paid the extra money for the upgraded seats only to have these indicated issues. There is no skin off Deltas nose to handling the complaint. I got the usual this is the best we can do response. Despite my repeated emails to Delta about this poor offering they will do no more. The flight back home two weeks later was great. Monitors worked and the seats reclined but needless to say we started off horrible on Air France and it took 34 days for the aggravated back issues to subside. If this is how Air France feels then Id opt for another airline. And if Delta is handling the complaints for them I suspect they would be just as bad. Find another airline besides Air France and Delta. They are not the only ways to fly,inflight_experience_negative | pricing_fees_negative,0,0,0,-1,-1,0,2025-11-10 03:33:09.757951590
Ive traveled with this airline on a roundtrip from Madrid to Montreal and all I can say is I will never fly with them again. They lost my luggage on a direct flight They advised me to check my handbag at the check in point saying that the airplane was full and that I may have to check it in anyway at the boarding gate. So I followed their advice and I arrived to Montreal and they had lost my luggage. My bag arrived to Madrid 9 days later and it hand a grip broken and my toiletries bag had been stolen. Whats even worse the airline is bound to reimburse you for the expenses you incur while you are without luggage. Their policy states they will reimburse you up to 50 CADday for each day you dont have your luggage with you. Well guess what after more than 2 months of claiming less than 300 CAD for the expenses I had during my trip without my personal belonging I havent heard a word back from them. Ive reached out to them like 5 times in the past 2 months and they are simply ignoring me. So at this point I assume they will simply not reimburse me any of the expenses. If you fly with this airline expect your luggage to be lost even on direct flights and dont expect any compensation for the trouble they caused you. Never again,baggage_issues_negative | checkin_boarding_process_negative,0,-1,-1,0,0,0,2025-11-10 03:38:55.427085417
This was the worst plane we ever flew on. Very little leg room with a fold up footrest that presents an injury hazard in up or down position even at low impact. Inflight entertainment non functional. Some toilets out of order one with the toilet seat on the floor. We flew out 1 hour 45 minutes late with no explanation. We were put on this plane by Norwegian Air and we will not use Wamos or Norwegian again.,flight_delay_cancellation_negative | inflight_experience_negative,-1,0,0,-1,0,0,2025-11-10 03:44:41.096219243
Worst Airlines and worst customer support. My flight got cancelled 2 days before departure and I was not even sent a notification or message or any email regarding the same. I had contacted the customer care about problem of not being able to check in it was then they told me. They didnt even care enough to book another flight just initiated the refund but now I have to bear that additional cost of booking another flight at last minute.,flight_delay_cancellation_negative | checkin_boarding_process_negative | pricing_fees_negative,-1,-1,0,0,-1,0,2025-11-10 03:50:26.765353070
Our Swoop Flight WO745 from Las Vegas to Toronto on December 24 departure 230pm to Toronto 1020pm Was delayed from 320pm then again to 450pm and again to 535pm and finally cancelled. And all they offered to us was a disgraceful 10 USD voucher per person. When ask for help at the checkin station they only provided us with a customer service call centre number which no representative pick up the line and directed us to email all supporting documents to their support centre. Our flight can only be rebooked for December 26th departure. From Saturday December 24th we have to stay at Las Vegas until Monday December 26th for the next available flight to Toronto. Im so displeased with our Canadian base airline that cant support our Canadian Citizens. The worst airline in the history of Canadian transportation community. Definitely will never travel again with Swoop.,flight_delay_cancellation_negative | checkin_boarding_process_negative,-1,-1,0,0,0,0,2025-11-10 03:56:12.434486897
Bangkok to Singapore. Outgoing flight is quite ordinary. Head of the flight does not really possesses usual SQ pleasant personality. I was not addressed by name nor was shown to my seat. Menu was downgraded to one small thin piece of paper similar to economy class menu and wine cocktail choices are not listed. The retrofitted 777200er business class seat is not comfortable at all. It give passenger good privacy but for a short flight which does not require bed I cannot find comfortable lounging position at all. Toilet are well stocked and very well taken care of. The return flight is better same flimsy menu paper same aircraft and same seat but crews are pleasant and proactive. My lobster from Book the cook menu is very nice.,inflight_experience_negative | inflight_experience_positive,0,0,0,1,0,0,2025-11-10 04:01:58.103620724
Hanoi to HCMC Jan 30 2015. Flight delayed due to engineering requirement sat at the airport extra 2 hrs. When I booked our tickets they had up front seating 2 seats wide thought it would be worth it to have the extra space. They must have changed the plane as we were reassigned seats when we got to the airport they did offer us exit row seats although when I got to my seat it had a notice on it do not use as the back of the seat was missing I found another seat away from my wife. The seat I ended up with had slow recline without pushing the button. No entertainment system even have to buy water.,flight_delay_cancellation_negative | checkin_boarding_process_negative | inflight_experience_negative,-1,-1,0,-1,0,0,2025-11-10 04:07:43.772754550
My 85 almost 86 year old mother was the passenger. I was just doing my best to see to it that my mom was all set and I am astonished at how well she was treated From Houston IAH I put my mom on a flight that stopped in Dulles. Over the phone I was doing my best to help her manage her flight from Dulles airport to her final destination of Zambia Africa. It was nerve wracking but the crew stepped up and managed everything with such kindness and gentleness toward my mom that I wanted to say thank you to Ethiopian Airlines for such exemplary client care,checkin_boarding_process_positive | inflight_experience_positive,0,1,0,1,0,0,2025-11-10 04:13:29.441888377
Chisinau to Brussels. Bought an Economy Basic ticket for a family member but at the last minute had to suspend it due to emergency situation. It ended up being that we no longer needed ticket suspension and it was restored via emails with customer service. There was no extra charge and customer service representatives were very professional and prompt in their response. Thank you,flight_delay_cancellation_positive,1,0,0,0,0,0,2025-11-10 04:19:15.111022204
This was my first time flying with EVA flying from New York JFK to Hong Kong via Taipei. Everyone whom I asked about EVA had good things to say about it. Its service was very good. Its meals ranged from good to mediocre. The mediocre meal was served on the TaipeiHong Kong leg that lasted under two hours so one could say that a complimentary meal on a short haul flight was better than nothing or even generous. IFE on the New YorkTaipei leg was adequate although Id have liked to see more recent movies. My seat however could have been less uncomfortable had it been able to recline more.,inflight_experience_negative | inflight_experience_positive,0,0,0,1,0,0,2025-11-10 04:25:00.780156031
